OrderSize (kg),Distance (km),"Fragile (0=Không, 1=Có)","Priority (0=Thấp, 1=Trung bình, 2=Cao)"
50,100,0,1
5,10,1,2
20,200,0,0
10,50,1,2
30,80,0,1
3,5,1,2
100,300,0,0
15,40,0,1
8,15,1,2
60,150,0,1
111,242,0,0
131,338,0,0
142,364,0,0
147,266,0,1
81,202,0,1
52,149,0,1
1,13,1,2
9,50,1,2
101,369,0,1
121,339,0,0
58,74,0,1
3,38,1,2
9,40,0,1
23,109,0,1
2,21,1,2
103,157,0,0
137,230,0,1
54,151,0,1
20,73,0,1
18,73,0,1
2,27,1,2
50,33,0,1
107,164,0,1
37,59,0,1
2,48,1,2
39,143,0,1
9,30,1,2
9,8,1,2
8,25,0,1
8,36,1,2
