Tuoi,Thoi_gian_nghe,Nen_tang,Thoi_quen,Muc_do,Loai_nhac
18,2.0,Spotify,Nghe để nhảy,3,EDM
20,1.5,SoundCloud,Nghe để tập thể dục,3,EDM
22,3.0,Spotify,Nghe để nhảy,3,EDM
24,2.5,Apple Music,Nghe để nhảy,3,EDM
19,1.0,Spotify,Nghe để nhảy,3,EDM
21,2.0,SoundCloud,Nghe để tập thể dục,3,EDM
25,3.5,Spotify,Nghe để nhảy,3,EDM
23,1.5,SoundCloud,Nghe để nhảy,3,EDM
17,2.0,Spotify,Nghe để tập thể dục,3,EDM
20,1.0,Apple Music,Nghe để nhảy,3,EDM
18,2.5,Spotify,Nghe để nhảy,3,EDM
21,1.5,SoundCloud,Nghe để tập thể dục,3,EDM
23,3.0,Spotify,Nghe để nhảy,3,EDM
24,2.0,Apple Music,Nghe để nhảy,3,EDM
19,1.5,Spotify,Nghe để nhảy,3,EDM
22,2.5,SoundCloud,Nghe để tập thể dục,3,EDM
25,3.0,Spotify,Nghe để nhảy,3,EDM
23,1.0,SoundCloud,Nghe để nhảy,3,EDM
16,2.5,Spotify,Nghe để tập thể dục,3,EDM
20,1.5,Apple Music,Nghe để nhảy,3,EDM
18,3.0,Spotify,Nghe để nhảy,3,EDM
20,2.0,SoundCloud,Nghe để tập thể dục,3,EDM
22,3.5,Spotify,Nghe để nhảy,3,EDM
24,1.5,Apple Music,Nghe để nhảy,3,EDM
19,2.0,Spotify,Nghe để nhảy,3,EDM
21,1.0,SoundCloud,Nghe để tập thể dục,3,EDM
25,2.5,Spotify,Nghe để nhảy,3,EDM
23,2.0,SoundCloud,Nghe để nhảy,3,EDM
17,3.0,Spotify,Nghe để tập thể dục,3,EDM
20,2.5,Apple Music,Nghe để nhảy,3,EDM
18,1.5,Spotify,Nghe để nhảy,3,EDM
21,2.5,SoundCloud,Nghe để tập thể dục,3,EDM
23,1.0,Spotify,Nghe để nhảy,3,EDM
24,3.0,Apple Music,Nghe để nhảy,3,EDM
19,1.5,Spotify,Nghe để nhảy,3,EDM
22,2.0,SoundCloud,Nghe để tập thể dục,3,EDM
25,3.5,Spotify,Nghe để nhảy,3,EDM
23,1.5,SoundCloud,Nghe để nhảy,3,EDM
16,2.0,Spotify,Nghe để tập thể dục,3,EDM
20,1.0,Apple Music,Nghe để nhảy,3,EDM
45,1.0,YouTube,Nghe để thư giãn,1,Bolero
50,2.0,YouTube,Nghe để thư giãn,2,Bolero
55,1.5,YouTube,Nghe để thư giãn,1,Bolero
60,3.0,YouTube,Nghe để thư giãn,2,Bolero
48,1.0,YouTube,Nghe để thư giãn,1,Bolero
52,2.5,YouTube,Nghe để thư giãn,2,Bolero
65,1.5,YouTube,Nghe để thư giãn,1,Bolero
58,2.0,YouTube,Nghe để thư giãn,2,Bolero
47,1.5,Zing MP3,Nghe để thư giãn,1,Bolero
62,1.0,YouTube,Nghe để thư giãn,2,Bolero
46,1.5,YouTube,Nghe để thư giãn,1,Bolero
51,2.5,YouTube,Nghe để thư giãn,2,Bolero
54,1.0,YouTube,Nghe để thư giãn,1,Bolero
61,3.5,YouTube,Nghe để thư giãn,2,Bolero
49,1.5,YouTube,Nghe để thư giãn,1,Bolero
53,2.0,YouTube,Nghe để thư giãn,2,Bolero
64,1.0,YouTube,Nghe để thư giãn,1,Bolero
59,2.5,YouTube,Nghe để thư giãn,2,Bolero
48,1.0,Zing MP3,Nghe để thư giãn,1,Bolero
63,1.5,YouTube,Nghe để thư giãn,2,Bolero
45,2.0,YouTube,Nghe để thư giãn,1,Bolero
50,1.5,YouTube,Nghe để thư giãn,2,Bolero
55,1.0,YouTube,Nghe để thư giãn,1,Bolero
60,2.5,YouTube,Nghe để thư giãn,2,Bolero
48,1.5,YouTube,Nghe để thư giãn,1,Bolero
52,3.0,YouTube,Nghe để thư giãn,2,Bolero
65,1.0,YouTube,Nghe để thư giãn,1,Bolero
58,1.5,YouTube,Nghe để thư giãn,2,Bolero
47,2.0,Zing MP3,Nghe để thư giãn,1,Bolero
62,1.5,YouTube,Nghe để thư giãn,2,Bolero
46,1.0,YouTube,Nghe để thư giãn,1,Bolero
51,2.0,YouTube,Nghe để thư giãn,2,Bolero
54,1.5,YouTube,Nghe để thư giãn,1,Bolero
61,3.0,YouTube,Nghe để thư giãn,2,Bolero
49,1.0,YouTube,Nghe để thư giãn,1,Bolero
53,2.5,YouTube,Nghe để thư giãn,2,Bolero
64,1.5,YouTube,Nghe để thư giãn,1,Bolero
59,2.0,YouTube,Nghe để thư giãn,2,Bolero
48,1.5,Zing MP3,Nghe để thư giãn,1,Bolero
63,1.0,YouTube,Nghe để thư giãn,2,Bolero
16,2.0,Zing MP3,Nghe để học,2,Pop
18,3.0,Spotify,Nghe để thư giãn,2,Pop
22,1.5,Apple Music,Nghe để học,2,Pop
25,2.5,Spotify,Nghe để thư giãn,2,Pop
30,1.0,YouTube,Nghe để thư giãn,2,Pop
15,2.0,Zing MP3,Nghe để học,2,Pop
20,3.5,Spotify,Nghe để học,2,Pop
28,1.5,Apple Music,Nghe để thư giãn,2,Pop
32,2.0,Spotify,Nghe để thư giãn,2,Pop
19,1.0,Zing MP3,Nghe để học,2,Pop
17,2.5,Zing MP3,Nghe để học,2,Pop
19,3.5,Spotify,Nghe để thư giãn,2,Pop
23,1.0,Apple Music,Nghe để học,2,Pop
26,2.0,Spotify,Nghe để thư giãn,2,Pop
31,1.5,YouTube,Nghe để thư giãn,2,Pop
16,2.5,Zing MP3,Nghe để học,2,Pop
21,3.0,Spotify,Nghe để học,2,Pop
29,1.0,Apple Music,Nghe để thư giãn,2,Pop
33,2.5,Spotify,Nghe để thư giãn,2,Pop
20,1.5,Zing MP3,Nghe để học,2,Pop
16,1.5,Zing MP3,Nghe để học,2,Pop
18,2.5,Spotify,Nghe để thư giãn,2,Pop
22,2.0,Apple Music,Nghe để học,2,Pop
25,3.0,Spotify,Nghe để thư giãn,2,Pop
30,1.5,YouTube,Nghe để thư giãn,2,Pop
15,1.0,Zing MP3,Nghe để học,2,Pop
20,2.5,Spotify,Nghe để học,2,Pop
28,2.0,Apple Music,Nghe để thư giãn,2,Pop
32,1.5,Spotify,Nghe để thư giãn,2,Pop
19,2.0,Zing MP3,Nghe để học,2,Pop
17,2.0,Zing MP3,Nghe để học,2,Pop
19,3.0,Spotify,Nghe để thư giãn,2,Pop
23,1.5,Apple Music,Nghe để học,2,Pop
26,2.5,Spotify,Nghe để thư giãn,2,Pop
31,1.0,YouTube,Nghe để thư giãn,2,Pop
16,2.0,Zing MP3,Nghe để học,2,Pop
21,3.5,Spotify,Nghe để học,2,Pop
29,1.5,Apple Music,Nghe để thư giãn,2,Pop
33,2.0,Spotify,Nghe để thư giãn,2,Pop
20,1.0,Zing MP3,Nghe để học,2,Pop
18,2.0,SoundCloud,Nghe để học,1,Indie
20,1.5,Spotify,Nghe để thư giãn,2,Indie
22,3.0,SoundCloud,Nghe để thư giãn,1,Indie
24,2.5,Spotify,Nghe để học,2,Indie
19,1.0,SoundCloud,Nghe để thư giãn,1,Indie
21,2.0,Spotify,Nghe để học,2,Indie
25,1.5,SoundCloud,Nghe để thư giãn,1,Indie
23,3.5,Spotify,Nghe để học,2,Indie
26,2.0,SoundCloud,Nghe để thư giãn,1,Indie
28,1.0,Spotify,Nghe để thư giãn,2,Indie
19,2.5,SoundCloud,Nghe để học,1,Indie
21,1.0,Spotify,Nghe để thư giãn,2,Indie
23,3.5,SoundCloud,Nghe để thư giãn,1,Indie
25,2.0,Spotify,Nghe để học,2,Indie
20,1.5,SoundCloud,Nghe để thư giãn,1,Indie
22,2.5,Spotify,Nghe để học,2,Indie
26,1.0,SoundCloud,Nghe để thư giãn,1,Indie
